
Time                   I        S        U           D    User  SystemWait  Idle  Bi      Bo    Select      Insert      Update      Delete      Commit      Rollback    Errors        TPM      TPS     Users       Response I     S     U     D      
17:14:17 17       43       33       9        0     0     0     0     0       0             43          17          33          9           59          0           0             102      102     [4/4]       12008    9632  6828  17552 21506 
17:14:18 112      306      207      87       0     0     0     0     0       0       306         112         207         87          406         0           0        712      610     [4/4]       8198     3231  1165  556   1219  
17:14:19 232      652      438      174      0     0     0     0     0       0       652         232         438         174         844         0           0        1496     784     [4/4]       7147     17222 6100  15154 18650 
17:14:20 339      930      620      244      0     0     0     0     0       0       930         339         620         244         1203        0           0        2133     637     [4/4]       7193     44184 481   14674 5040  
17:14:21 455      1273     844      328      0     0     0     0     0       0       1273        455         844         328         1627        0           0        2900     767     [4/4]       6969     3804  1189  4101  792   
17:14:22 643      1731     1200     452      0     0     0     0     0       0       1731        643         1200        452         2295        0           0        4026     1126    [4/4]       6178     2380  582   2529  642   
17:14:23 739      2004     1379     524      0     0     0     0     0       0       2004        739         1379        524         2642        0           0        4646     620     [4/4]       6356     2788  820   2864  1489  
17:14:24 924      2509     1736     642      0     0     0     0     0       0       2509        924         1736        642         3302        0           0        5811     1165    [4/4]       5904     23515 8139  23890 541   
17:14:25 1019     2733     1930     707      0     0     0     0     0       0       2733        1019        1930        707         3656        0           0        6389     578     [4/4]       6118     3381  677   2915  3040  
17:14:26 1115     3036     2139     784      0     0     0     0     0       0       3036        1115        2139        784         4038        0           0        7074     685     [4/4]       6230     2168  329   2049  2050  
17:14:27 1225     3264     2304     858      0     0     0     0     0       0       3264        1225        2304        858         4387        0           0        7651     577     [4/4]       6377     4527  618   3053  3098  
17:14:28 1324     3503     2493     900      0     0     0     0     0       0       3503        1324        2493        900         4717        0           0        8220     569     [4/4]       6471     3090  336   2512  2152  
17:14:29 1408     3828     2692     975      0     0     0     0     0       0       3828        1408        2692        975         5075        0           0        8903     683     [4/4]       6531     4379  404   1682  457   
17:14:30 1606     4259     3048     1082     0     0     0     0     0       0       4259        1606        3048        1082        5736        0           0        9995     1092    [4/4]       6276     3026  382   2755  2465  
17:14:31 1703     4499     3218     1147     0     0     0     0     0       0       4499        1703        3218        1147        6068        0           0        10567    572     [4/4]       6386     2770  335   3118  3858  
17:14:32 1851     4930     3540     1262     0     0     0     0     0       0       4930        1851        3540        1262        6653        0           0        11583    1016    [4/4]       6235     3221  347   1478  3142  
17:14:33 1954     5218     3760     1330     0     0     0     0     0       0       5218        1954        3760        1330        7044        0           0        12262    679     [4/4]       6281     1942  319   376   2066  
17:14:34 2071     5546     4002     1399     0     0     0     0     0       0       5546        2071        4002        1399        7472        0           0        13018    756     [4/4]       6276     2015  295   1516  2626  
17:14:35 2214     5939     4262     1499     0     0     0     0     0       0       5939        2215        4262        1499        7976        0           0        13914    896     [4/4]       6213     2171  889   19871 2229  
17:14:36 2324     6231     4469     1572     0     0     0     0     0       0       6231        2324        4469        1572        8365        0           0        14596    682     [4/4]       6258     2576  295   1627  389   
17:14:37 2452     6534     4728     1655     0     0     0     0     0       0       6534        2452        4728        1655        8835        0           0        15369    773     [4/4]       6240     1836  835   3142  3146  
17:14:38 2553     6855     4961     1731     0     0     0     0     0       0       6855        2553        4961        1731        9245        0           0        16100    731     [4/4]       6252     24843 4602  21993 15855 
17:14:39 2687     7181     5191     1813     0     0     0     0     0       0       7181        2687        5191        1813        9691        0           0        16872    772     [4/4]       6245     21116 6106  11885 7837  
17:14:40 2778     7493     5408     1882     0     0     0     0     0       0       7493        2778        5408        1882        10068       0           0        17561    689     [4/4]       6277     33627 4816  21995 27806 
17:14:41 2876     7774     5624     1935     0     0     0     0     0       0       7774        2876        5624        1935        10435       0           0        18209    648     [4/4]       6316     17919 7951  9480  9092  
17:14:42 2984     8073     5857     2002     0     0     0     0     0       0       8073        2984        5857        2002        10843       0           0        18916    707     [4/4]       6329     24777 5073  33752 13022 
17:14:43 3078     8337     6032     2070     0     0     0     0     0       0       8337        3078        6032        2070        11180       0           0        19517    601     [4/4]       6379     19775 4738  33181 26032 
17:14:44 3158     8577     6192     2131     0     0     0     0     0       0       8577        3158        6192        2131        11481       0           0        20058    541     [4/4]       6442     27488 2109  23767 15962 
